Date,Close,Open,High,Low,Volume,Change
2016-09-15,29.65,29.65,29.65,29.65,0,-0.0285
2016-09-20,29.76,29.81,29.81,29.76,0,0.0037
2016-09-21,30.01,30.01,30.01,30.01,0,0.0084
2016-09-22,30.38,30.38,30.38,30.38,0,0.0123
2016-09-23,30.39,30.39,30.4,30.39,0,0.0003
2016-09-27,29.7,30.27,30.27,29.7,0,-0.0227
2016-09-28,30.08,30.08,30.08,30.08,0,0.0128
2016-09-30,29.92,29.92,29.92,29.92,0,-0.0053
2016-10-03,30.28,30.28,30.28,30.28,0,0.012
2016-10-04,30.39,30.38,30.39,30.38,0,0.0036
2016-10-05,30.25,30.21,30.25,30.21,0,-0.0046
2016-10-06,30.48,2130.37,2130.37,30.44,0,0.0076
2016-10-07,30.22,30.22,30.22,30.22,0,-0.0085
2016-10-10,29.84,29.84,29.84,29.84,0,-0.0126
2016-10-12,30.32,30.32,30.32,30.32,0,0.0161
2016-10-17,30.2,30.2,30.2,30.2,0,-0.004
2016-10-20,30.8,30.8,30.8,30.8,0,0.0199
2016-10-24,31.04,31.04,31.04,31.04,0,0.0078
2016-10-25,31.07,31.11,31.11,31.07,0,0.001
2016-10-27,31.01,31.01,31.01,31.01,0,-0.0019
2016-10-28,30.76,30.76,30.76,30.76,0,-0.0081
2016-11-02,30.1,30.11,30.11,30.1,0,-0.0215
2016-11-04,29.7,29.7,29.7,29.7,0,-0.0133
2016-11-07,30.23,30.23,30.23,30.23,0,0.0178
2016-11-08,30.24,30.24,30.24,30.24,0,0.0003
2016-11-09,30.73,29.97,30.73,29.97,0,0.0162
2016-11-10,30.88,30.68,30.88,30.59,0,0.0049
2016-11-11,30.7,30.7,30.7,30.7,0,-0.0058
2016-11-14,30.47,30.58,30.58,30.47,0,-0.0075
2016-11-15,30.61,30.61,30.61,30.61,0,0.0046
2016-11-17,30.61,30.46,30.61,30.39,0,0
2016-11-21,30.55,30.55,30.55,30.55,0,-0.002
2016-11-23,30.54,30.54,30.54,30.54,0,-0.0003
2016-11-24,30.52,30.43,30.52,30.43,0,-0.0007
2016-11-25,30.66,30.64,30.66,30.64,0,0.0046
2016-11-28,30.29,30.57,30.57,30.29,0,-0.0121
2016-11-29,30.61,30.28,30.61,30.28,0,0.0106
2016-11-30,30.75,30.75,30.75,30.75,0,0.0046
2016-12-05,30.48,30.48,30.48,30.48,0,-0.0088
2016-12-06,31,30.77,31,30.77,0,0.0171
2016-12-07,31.63,31.6,31.68,30.96,0,0.0203
2016-12-08,32.1,32.1,32.1,31.98,0,0.0149
2016-12-09,32.13,32.36,32.36,32.13,0,0.0009
2016-12-12,32.51,32.15,32.51,32.15,0,0.0118
2016-12-13,32.52,32.27,32.52,32.16,0,0.0003
2016-12-14,32.65,32.65,32.65,32.65,0,0.004
2016-12-15,32.16,32.5,32.5,32.16,0,-0.015
2016-12-16,32.67,32.67,32.67,32.67,0,0.0159
2016-12-28,32.96,32.96,32.96,32.96,0,0.0089
2017-01-03,33.39,33.36,33.55,33.34,0,0.013
2017-01-11,33.31,33.31,33.31,33.31,0,-0.0024
2017-01-12,33.14,33.14,33.14,33.14,0,-0.0051
2017-01-19,33.11,33.11,33.11,33.11,0,-0.0009
2017-01-20,33.15,33.15,33.15,33.15,0,0.0012
2017-02-01,32.83,32.83,32.83,32.83,0,-0.0097
2017-02-07,32.69,32.75,32.75,32.69,0,-0.0043
2017-02-08,32.44,32.44,32.44,32.44,0,-0.0076
2017-02-09,32.78,32.78,32.78,32.78,0,0.0105
2017-02-13,33.2,33.2,33.2,33.2,0,0.0128
2017-02-15,33.52,33.52,33.52,33.52,0,0.0096
2017-02-17,33.12,33.21,33.21,33.12,0,-0.0119
2017-02-21,33.53,33.4,33.53,33.4,0,0.0124
2017-02-22,33.54,33.54,33.54,33.54,0,0.0003
2017-02-23,33.44,33.44,33.44,33.44,0,-0.003
2017-02-24,33.3,33.3,33.3,33.3,0,-0.0042
2017-02-27,33.43,33.15,33.43,33.15,0,0.0039
2017-02-28,33.46,33.46,33.46,33.46,0,0.0009
2017-03-01,34.16,34.16,34.16,34.16,0,0.0209
2017-03-06,34.57,34.57,34.57,34.57,0,0.012
2017-03-08,34.09,34.15,34.15,34.09,0,-0.0139
2017-03-09,33.91,33.91,33.91,33.91,0,-0.0053
2017-03-20,34.99,34.99,34.99,34.99,0,0.0318
2017-03-23,34.47,34.47,34.47,34.47,0,-0.0149
2017-03-24,34.59,34.59,34.59,34.59,0,0.0035
2017-03-28,34.6,34.6,34.6,34.6,0,0.0003
2017-03-30,34.93,34.93,34.93,34.93,0,0.0095
2017-03-31,35.02,35.02,35.02,35.02,0,0.0026
2017-04-03,35.16,35.16,35.16,35.16,0,0.004
2017-04-04,34.9,34.9,34.9,34.9,0,-0.0074
2017-04-05,35.08,35.08,35.08,35.08,0,0.0052
2017-04-07,35.25,35.25,35.25,35.13,0,0.0048
2017-04-11,34.98,34.99,34.99,34.98,0,-0.0077
2017-04-12,34.97,35.02,35.02,34.97,0,-0.0003
2017-04-13,34.93,34.84,34.93,34.84,0,-0.0011
2017-04-18,34.48,34.48,34.48,34.48,0,-0.0129
2017-04-24,36,36,36,36,0,0.0441
2017-04-25,36.15,36.18,36.18,36.14,0,0.0042
2017-04-28,35.65,35.7,35.7,35.65,0,-0.0138
2017-05-02,35.84,35.84,35.84,35.84,0,0.0053
2017-05-04,36.36,36.36,36.36,36.36,0,0.0145
