Date,Close,Open,High,Low,Volume,Change
1996-10-29,1203.05,1219.94,1222.13,1202.36,0.0,-0.0106
1996-10-30,1206.23,1206.0,1208.05,1203.05,0.0,0.0026
1996-10-31,1221.51,1209.04,1221.61,1206.23,0.0,0.0127
1996-11-01,1221.78,1223.72,1224.82,1218.27,0.0,0.0002
1996-11-04,1220.48,1223.47,1224.12,1218.23,0.0,-0.0011
1996-11-05,1229.07,1223.1,1231.74,1223.1,0.0,0.006999999999999999
1996-11-06,1245.49,1230.8,1245.5,1228.62,0.0,0.0134
1996-11-07,1254.14,1245.65,1256.79,1243.63,0.0,0.0069
1996-11-08,1257.51,1254.32,1257.62,1248.72,0.0,0.0027
1996-11-11,1262.67,1258.24,1262.77,1256.43,0.0,0.0040999999999999995
1996-11-12,1256.53,1267.38,1268.6,1255.7,0.0,-0.0049
1996-11-13,1260.72,1259.73,1261.9,1165.81,0.0,0.0033
1996-11-14,1270.36,1260.95,1270.9,1256.89,0.0,0.0076
1996-11-15,1261.8,1273.06,1274.76,1257.55,0.0,-0.0067
1996-11-18,1254.57,1263.08,1263.29,1250.21,0.0,-0.005699999999999999
1996-11-19,1262.62,1253.86,1262.94,1252.97,0.0,0.0064
1996-11-20,1264.94,1264.77,1272.46,1261.76,0.0,0.0018
1996-11-21,1258.08,1267.75,1268.62,1256.01,0.0,-0.0054
1996-11-22,1274.36,1262.86,1274.66,1258.08,0.0,0.0129
1996-11-25,1280.37,1275.41,1281.22,1272.45,0.0,0.004699999999999999
1996-11-26,1281.2,1281.7,1283.88,1271.54,0.0,0.0006
1996-11-27,1287.32,1281.98,1287.42,1279.15,0.0,0.0048
1996-11-29,1292.61,1287.97,1293.75,1287.32,0.0,0.0040999999999999995
1996-12-02,1299.82,1294.78,1299.82,1287.01,0.0,0.005600000000000001
1996-12-03,1300.37,1303.68,1313.38,1299.35,0.0,0.0004
1996-12-04,1297.02,1300.92,1303.27,1288.63,0.0,-0.0026
1996-12-05,1300.12,1299.55,1303.43,1296.73,0.0,0.0024
1996-12-06,1287.68,1275.9,1293.87,1258.89,0.0,-0.0096
1996-12-09,1316.27,1296.18,1316.31,1287.65,0.0,0.0222
1996-12-10,1312.55,1325.15,1328.95,1312.28,0.0,-0.0028000000000000004
1996-12-11,1309.12,1300.85,1312.55,1291.51,0.0,-0.0026
1996-12-12,1298.33,1320.55,1324.38,1298.28,0.0,-0.008199999999999999
1996-12-13,1284.91,1291.4,1298.39,1281.43,0.0,-0.0103
1996-12-16,1260.98,1289.72,1292.24,1257.78,0.0,-0.018600000000000002
1996-12-17,1266.32,1255.28,1266.62,1251.03,0.0,0.0042
1996-12-18,1285.38,1274.51,1285.71,1266.38,0.0,0.0151
1996-12-19,1295.86,1292.83,1296.93,1285.38,0.0,0.008199999999999999
1996-12-20,1288.56,1303.03,1304.56,1286.76,0.0,-0.005600000000000001
1996-12-23,1279.52,1290.68,1291.28,1276.93,0.0,-0.006999999999999999
1996-12-24,1287.63,1280.56,1287.63,1277.81,0.0,0.0063
1996-12-26,1294.57,1289.74,1294.66,1287.57,0.0,0.0054
1996-12-27,1291.38,1296.18,1297.15,1291.06,0.0,-0.0025
1996-12-30,1287.75,1295.18,1297.01,1287.7,0.0,-0.0028000000000000004
1996-12-31,1291.03,1289.24,1291.88,1285.45,0.0,0.0025
1997-01-02,1280.7,1292.65,1293.63,1272.34,0.0,-0.008
1997-01-03,1310.68,1288.02,1310.84,1280.7,0.0,0.023399999999999997
1997-01-06,1316.4,1314.34,1321.47,1310.63,0.0,0.0044
1997-01-07,1327.73,1316.91,1327.82,1312.08,0.0,0.0086
1997-01-08,1320.35,1329.6,1330.77,1319.94,0.0,-0.005600000000000001
1997-01-09,1326.2,1325.23,1327.24,1320.33,0.0,0.0044
1997-01-10,1332.02,1317.38,1332.02,1311.78,0.0,0.0044
1997-01-13,1330.91,1335.45,1337.77,1328.71,0.0,-0.0008
1997-01-14,1346.36,1337.38,1349.01,1330.91,0.0,0.0116
1997-01-15,1333.53,1347.7,1347.84,1333.41,0.0,-0.0095
1997-01-16,1340.58,1340.14,1347.39,1333.53,0.0,0.0053
1997-01-17,1349.05,1340.61,1350.53,1339.8,0.0,0.0063
